cm-1,absorbancia
4000,0.03795
3998,0.04112
3996,0.03672
3994,0.03777
3992,0.03903
3990,0.04267
3988,0.04243
3986,0.03901
3984,0.03705
3982,0.03948
3980,0.04074
3978,0.03599
3976,0.03804
3974,0.03719
3972,0.03934
3970,0.03993
3968,0.03591
3966,0.04018
3964,0.04276
3962,0.04342
3960,0.04297
3958,0.04370
3956,0.03945
3954,0.03840
3952,0.04200
3950,0.04294
3948,0.04358
3946,0.03674
3944,0.04059
3942,0.03893
3940,0.03703
3938,0.03856
3936,0.04233
3934,0.03954
3932,0.04337
3930,0.03949
3928,0.03942
3926,0.03977
3924,0.03937
3922,0.04185
3920,0.03745
3918,0.03918
3916,0.04366
3914,0.03706
3912,0.03687
3910,0.03696
3908,0.03615
3906,0.04024
3904,0.04186
3902,0.04239
3900,0.03595
3898,0.03623
3896,0.04104
3894,0.03718
3892,0.04324
3890,0.04206
3888,0.04299
3886,0.04343
3884,0.04083
3882,0.03717
3880,0.04282
3878,0.03773
3876,0.03704
3874,0.04222
3872,0.03866
3870,0.03717
3868,0.03748
3866,0.03796
3864,0.04267
3862,0.03765
3860,0.04333
3858,0.04097
3856,0.04102
3854,0.03846
3852,0.03983
3850,0.03962
3848,0.04379
3846,0.03735
3844,0.03656
3842,0.03921
3840,0.03900
3838,0.04209
3836,0.03908
3834,0.04360
3832,0.04384
3830,0.04281
3828,0.04170
3826,0.04223
3824,0.03928
3822,0.04310
3820,0.04482
3818,0.04185
3816,0.04113
3814,0.04213
3812,0.03860
3810,0.03998
3808,0.04174
3806,0.04574
3804,0.04057
3802,0.03926
3800,0.03935
3798,0.04278
3796,0.04475
3794,0.04383
3792,0.04542
3790,0.04481
3788,0.04592
3786,0.04476
3784,0.04275
3782,0.04115
3780,0.04069
3778,0.04386
3776,0.04495
3774,0.04360
3772,0.04503
3770,0.04676
3768,0.04186
3766,0.04475
3764,0.04977
3762,0.04660
3760,0.04956
3758,0.04424
3756,0.04580
3754,0.04525
3752,0.04567
3750,0.05083
3748,0.05254
3746,0.04935
3744,0.05245
3742,0.05063
3740,0.05337
3738,0.05223
3736,0.04837
3734,0.05351
3732,0.05552
3730,0.05484
3728,0.05483
3726,0.05180
3724,0.05423
3722,0.05279
3720,0.05853
3718,0.05545
3716,0.05857
3714,0.05462
3712,0.05631
3710,0.05779
3708,0.05880
3706,0.06257
3704,0.06280
3702,0.05995
3700,0.06468
3698,0.06072
3696,0.05987
3694,0.06808
3692,0.06649
3690,0.06584
3688,0.06811
3686,0.06760
3684,0.06833
3682,0.06596
3680,0.06731
3678,0.06843
3676,0.07329
3674,0.07391
3672,0.07834
3670,0.07744
3668,0.07826
3666,0.07670
3664,0.08118
3662,0.08027
3660,0.08180
3658,0.08023
3656,0.08558
3654,0.08452
3652,0.08685
3650,0.09008
3648,0.08923
3646,0.09459
3644,0.08984
3642,0.09582
3640,0.09173
3638,0.09811
3636,0.09786
3634,0.09577
3632,0.10334
3630,0.10631
3628,0.10547
3626,0.10534
3624,0.10477
3622,0.10825
3620,0.10881
3618,0.11025
3616,0.11699
3614,0.11316
3612,0.11660
3610,0.11951
3608,0.12539
3606,0.12095
3604,0.12774
3602,0.13152
3600,0.13313
3598,0.13505
3596,0.13500
3594,0.14018
3592,0.14019
3590,0.14174
3588,0.14456
3586,0.14239
3584,0.15071
3582,0.14994
3580,0.15492
3578,0.15780
3576,0.16141
3574,0.16385
3572,0.16086
3570,0.16220
3568,0.16554
3566,0.17023
3564,0.17010
3562,0.17343
3560,0.17708
3558,0.17682
3556,0.18221
3554,0.18710
3552,0.18577
3550,0.18764
3548,0.19341
3546,0.19723
3544,0.19570
3542,0.20365
3540,0.20499
3538,0.20280
3536,0.20586
3534,0.21060
3532,0.21484
3530,0.21553
3528,0.21753
3526,0.22242
3524,0.22975
3522,0.22985
3520,0.23499
3518,0.23414
3516,0.23418
3514,0.23829
3512,0.24420
3510,0.24448
3508,0.24501
3506,0.24939
3504,0.25207
3502,0.25431
3500,0.25602
3498,0.25918
3496,0.26299
3494,0.26904
3492,0.26962
3490,0.27348
3488,0.27119
3486,0.27906
3484,0.27944
3482,0.28008
3480,0.28555
3478,0.29041
3476,0.29361
3474,0.29586
3472,0.29359
3470,0.29570
3468,0.29803
3466,0.30414
3464,0.30510
3462,0.30961
3460,0.30956
3458,0.30722
3456,0.31417
3454,0.31479
3452,0.31855
3450,0.32133
3448,0.32420
3446,0.32658
3444,0.32245
3442,0.32707
3440,0.32647
3438,0.33055
3436,0.33405
3434,0.33450
3432,0.33298
3430,0.33685
3428,0.33803
3426,0.33999
3424,0.34213
3422,0.34183
3420,0.34744
3418,0.34591
3416,0.34987
3414,0.34869
3412,0.34566
3410,0.35241
3408,0.35293
3406,0.35353
3404,0.34963
3402,0.35227
3400,0.35683
3398,0.35682
3396,0.35172
3394,0.35399
3392,0.35520
3390,0.35847
3388,0.35615
3386,0.35633
3384,0.35310
3382,0.35255
3380,0.35939
3378,0.35931
3376,0.35689
3374,0.35586
3372,0.35822
3370,0.35486
3368,0.35140
3366,0.35444
3364,0.35107
3362,0.35421
3360,0.35093
3358,0.35015
3356,0.34834
3354,0.35120
3352,0.34866
3350,0.34745
3348,0.34515
3346,0.34655
3344,0.34328
3342,0.34647
3340,0.34038
3338,0.34429
3336,0.34321
3334,0.33858
3332,0.33537
3330,0.33746
3328,0.33130
3326,0.33448
3324,0.32815
3322,0.32615
3320,0.32644
3318,0.32900
3316,0.32062
3314,0.32509
3312,0.32075
3310,0.31675
3308,0.31845
3306,0.31186
3304,0.31305
3302,0.30666
3300,0.30525
3298,0.30884
3296,0.30116
3294,0.30163
3292,0.30263
3290,0.29809
3288,0.29767
3286,0.29138
3284,0.28585
3282,0.28614
3280,0.28380
3278,0.28460
3276,0.27861
3274,0.27806
3272,0.27404
3270,0.27253
3268,0.26458
3266,0.26562
3264,0.26606
3262,0.25814
3260,0.25945
3258,0.25701
3256,0.25269
3254,0.24702
3252,0.24892
3250,0.24088
3248,0.24239
3246,0.24205
3244,0.23639
3242,0.23620
3240,0.22909
3238,0.23003
3236,0.22199
3234,0.22071
3232,0.22173
3230,0.21436
3228,0.21640
3226,0.21339
3224,0.20636
3222,0.20601
3220,0.20335
3218,0.19583
3216,0.19538
3214,0.19066
3212,0.19019
3210,0.19182
3208,0.18439
3206,0.18040
3204,0.18429
3202,0.17812
3200,0.17550
3198,0.17196
3196,0.16683
3194,0.16570
3192,0.16357
3190,0.16364
3188,0.16165
3186,0.16040
3184,0.15203
3182,0.15308
3180,0.15476
3178,0.14625
3176,0.14697
3174,0.14391
3172,0.14214
3170,0.14063
3168,0.13607
3166,0.13556
3164,0.12941
3162,0.13216
3160,0.12501
3158,0.12819
3156,0.12514
3154,0.12275
3152,0.12194
3150,0.12100
3148,0.11523
3146,0.11265
3144,0.11473
3142,0.10794
3140,0.11209
3138,0.10987
3136,0.10356
3134,0.10100
3132,0.10231
3130,0.10295
3128,0.10144
3126,0.09322
3124,0.09426
3122,0.09013
3120,0.08942
3118,0.09151
3116,0.08545
3114,0.08437
3112,0.08294
3110,0.08739
3108,0.08313
3106,0.07890
3104,0.08409
3102,0.07582
3100,0.08179
3098,0.08082
3096,0.07230
3094,0.07423
3092,0.07125
3090,0.07362
3088,0.06817
3086,0.07188
3084,0.07087
3082,0.06786
3080,0.06703
3078,0.06564
3076,0.06758
3074,0.06512
3072,0.06482
3070,0.06036
3068,0.06532
3066,0.05830
3064,0.05695
3062,0.05792
3060,0.05550
3058,0.05750
3056,0.06085
3054,0.05315
3052,0.05616
3050,0.05245
3048,0.05460
3046,0.05664
3044,0.05739
3042,0.05675
3040,0.05455
3038,0.05465
3036,0.05670
3034,0.05302
3032,0.05236
3030,0.05023
3028,0.05791
3026,0.05197
3024,0.05410
3022,0.05162
3020,0.05317
3018,0.05665
3016,0.05814
3014,0.06008
