cm-1,absorbancia
4000,0.03796
3998,0.03824
3996,0.03883
3994,0.03661
3992,0.04172
3990,0.04276
3988,0.03666
3986,0.04172
3984,0.03679
3982,0.03767
3980,0.04225
3978,0.03811
3976,0.03881
3974,0.03877
3972,0.04007
3970,0.04105
3968,0.03905
3966,0.03973
3964,0.04124
3962,0.03908
3960,0.03690
3958,0.04174
3956,0.04206
3954,0.03616
3952,0.03830
3950,0.03687
3948,0.04047
3946,0.03626
3944,0.03875
3942,0.04324
3940,0.04231
3938,0.04168
3936,0.04359
3934,0.03623
3932,0.03875
3930,0.04206
3928,0.03611
3926,0.03757
3924,0.04273
3922,0.03728
3920,0.03813
3918,0.04284
3916,0.04189
3914,0.04339
3912,0.04170
3910,0.03714
3908,0.03961
3906,0.04067
3904,0.04050
3902,0.03925
3900,0.03799
3898,0.04092
3896,0.03964
3894,0.03639
3892,0.04210
3890,0.03715
3888,0.03636
3886,0.04163
3884,0.03933
3882,0.04081
3880,0.03841
3878,0.04417
3876,0.03738
3874,0.03759
3872,0.03663
3870,0.04047
3868,0.03861
3866,0.03902
3864,0.04233
3862,0.04062
3860,0.03819
3858,0.04096
3856,0.03824
3854,0.04169
3852,0.03988
3850,0.03806
3848,0.03748
3846,0.04259
3844,0.04493
3842,0.03737
3840,0.03929
3838,0.04027
3836,0.04379
3834,0.04024
3832,0.04016
3830,0.04551
3828,0.04222
3826,0.04355
3824,0.04479
3822,0.03843
3820,0.04346
3818,0.04147
3816,0.03986
3814,0.04179
3812,0.04602
3810,0.04289
3808,0.04684
3806,0.04425
3804,0.04680
3802,0.04152
3800,0.04474
3798,0.04372
3796,0.04115
3794,0.04596
3792,0.04334
3790,0.04283
3788,0.04536
3786,0.04676
3784,0.04551
3782,0.04684
3780,0.04945
3778,0.04753
3776,0.04723
3774,0.04390
3772,0.04963
3770,0.04946
3768,0.04997
3766,0.04588
3764,0.04828
3762,0.04807
3760,0.04613
3758,0.04599
3756,0.04688
3754,0.04756
3752,0.05192
3750,0.05509
3748,0.05166
3746,0.05178
3744,0.05662
3742,0.05307
3740,0.05750
3738,0.05692
3736,0.05460
3734,0.05319
3732,0.05781
3730,0.05711
3728,0.05687
3726,0.05569
3724,0.05783
3722,0.06006
3720,0.06068
3718,0.06071
3716,0.06324
3714,0.06376
3712,0.06189
3710,0.06461
3708,0.06546
3706,0.06749
3704,0.06869
3702,0.06992
3700,0.07135
3698,0.07221
3696,0.06923
3694,0.06893
3692,0.07507
3690,0.07542
3688,0.07597
3686,0.07517
3684,0.07945
3682,0.07570
3680,0.08315
3678,0.07875
3676,0.08476
3674,0.08801
3672,0.08813
3670,0.08384
3668,0.09236
3666,0.09278
3664,0.08930
3662,0.09228
3660,0.09287
3658,0.10017
3656,0.09496
3654,0.09962
3652,0.09850
3650,0.10428
3648,0.10799
3646,0.10747
3644,0.10526
3642,0.11278
3640,0.10889
3638,0.11050
3636,0.12041
3634,0.11882
3632,0.11778
3630,0.12214
3628,0.12116
3626,0.12446
3624,0.12995
3622,0.12906
3620,0.13184
3618,0.13481
3616,0.13773
3614,0.13862
3612,0.14549
3610,0.14780
3608,0.14915
3606,0.14939
3604,0.15329
3602,0.15895
3600,0.16408
3598,0.16484
3596,0.16361
3594,0.17010
3592,0.17448
3590,0.17241
3588,0.17410
3586,0.17724
3584,0.18540
3582,0.18797
3580,0.19070
3578,0.19466
3576,0.19929
3574,0.20383
3572,0.20497
3570,0.20645
3568,0.21231
3566,0.21654
3564,0.21952
3562,0.21849
3560,0.22524
3558,0.23242
3556,0.22906
3554,0.23412
3552,0.24164
3550,0.24707
3548,0.25076
3546,0.25055
3544,0.25178
3542,0.26096
3540,0.26753
3538,0.27110
3536,0.27516
3534,0.27520
3532,0.27782
3530,0.28255
3528,0.28804
3526,0.29362
3524,0.29561
3522,0.30052
3520,0.30473
3518,0.31131
3516,0.31416
3514,0.31619
3512,0.32327
3510,0.32777
3508,0.32920
3506,0.33932
3504,0.33602
3502,0.34467
3500,0.35113
3498,0.35090
3496,0.35988
3494,0.35849
3492,0.36992
3490,0.37227
3488,0.37875
3486,0.37610
3484,0.38228
3482,0.38816
3480,0.39682
3478,0.39538
3476,0.40072
3474,0.40649
3472,0.41136
3470,0.41510
3468,0.42223
3466,0.42026
3464,0.42758
3462,0.43602
3460,0.44000
3458,0.43852
3456,0.44826
3454,0.44955
3452,0.45605
3450,0.45962
3448,0.46069
3446,0.46788
3444,0.47018
3442,0.46983
3440,0.47759
3438,0.48387
3436,0.48705
3434,0.48853
3432,0.49068
3430,0.49873
3428,0.49683
3426,0.50691
3424,0.50942
3422,0.50968
3420,0.51521
3418,0.51353
3416,0.52361
3414,0.52761
3412,0.53030
3410,0.52977
3408,0.53452
3406,0.53701
3404,0.54204
3402,0.54017
3400,0.54503
3398,0.54420
3396,0.54583
3394,0.54907
3392,0.55359
3390,0.55797
3388,0.56191
3386,0.56434
3384,0.56647
3382,0.56483
3380,0.56618
3378,0.56763
3376,0.57302
3374,0.57095
3372,0.57200
3370,0.57205
3368,0.57450
3366,0.57687
3364,0.57874
3362,0.58251
3360,0.58314
3358,0.58525
3356,0.58456
3354,0.58778
3352,0.58212
3350,0.58362
3348,0.58313
3346,0.58751
3344,0.58292
3342,0.58232
3340,0.58585
3338,0.58720
3336,0.58283
3334,0.58980
3332,0.58532
3330,0.58428
3328,0.58720
3326,0.58535
3324,0.58546
3322,0.57853
3320,0.58301
3318,0.58339
3316,0.57821
3314,0.57779
3312,0.57643
3310,0.57347
3308,0.57213
3306,0.57225
3304,0.56897
3302,0.57007
3300,0.56472
3298,0.56434
3296,0.56486
3294,0.56035
3292,0.56006
3290,0.55938
3288,0.55232
3286,0.54804
3284,0.55132
3282,0.54412
3280,0.54721
3278,0.54136
3276,0.54179
3274,0.53825
3272,0.53392
3270,0.52745
3268,0.52814
3266,0.52613
3264,0.51585
3262,0.51713
3260,0.51541
3258,0.50969
3256,0.50633
3254,0.50624
3252,0.49946
3250,0.49373
3248,0.49248
3246,0.48973
3244,0.48241
3242,0.48079
3240,0.47870
3238,0.47448
3236,0.46880
3234,0.46656
3232,0.46232
3230,0.45519
3228,0.44796
3226,0.44513
3224,0.44420
3222,0.43922
3220,0.43442
3218,0.42704
3216,0.42671
3214,0.42468
3212,0.41569
3210,0.41146
3208,0.40991
3206,0.40585
3204,0.40337
3202,0.39935
3200,0.39032
3198,0.38603
3196,0.38495
3194,0.37700
3192,0.37723
3190,0.37195
3188,0.36803
3186,0.36089
3184,0.35479
3182,0.34989
3180,0.35065
3178,0.34108
3176,0.33684
3174,0.33363
3172,0.32515
3170,0.32225
3168,0.31890
3166,0.31230
3164,0.31350
3162,0.30343
3160,0.30205
3158,0.29639
3156,0.29738
3154,0.28772
3152,0.28524
3150,0.28583
3148,0.27687
3146,0.27091
3144,0.26878
3142,0.26650
3140,0.26134
3138,0.25629
3136,0.24943
3134,0.24716
3132,0.24604
3130,0.24073
3128,0.23799
3126,0.23088
3124,0.23019
3122,0.22311
3120,0.21976
3118,0.21727
3116,0.21406
3114,0.20826
3112,0.20462
3110,0.20545
3108,0.20272
3106,0.19756
3104,0.19541
3102,0.19403
3100,0.19007
3098,0.18325
3096,0.18503
3094,0.17607
3092,0.17887
3090,0.17371
3088,0.16718
3086,0.16937
3084,0.16614
3082,0.15864
3080,0.15502
3078,0.15594
3076,0.15392
3074,0.14944
3072,0.14872
3070,0.14300
3068,0.14266
3066,0.13587
3064,0.13829
3062,0.13555
3060,0.13111
3058,0.13002
