cm-1,absorbancia
4000,0.03796
3998,0.03896
3996,0.03631
3994,0.03691
3992,0.03905
3990,0.04075
3988,0.04011
3986,0.04105
3984,0.04087
3982,0.03813
3980,0.03788
3978,0.04359
3976,0.03863
3974,0.03839
3972,0.04190
3970,0.03678
3968,0.04028
3966,0.03986
3964,0.04364
3962,0.03818
3960,0.04243
3958,0.03825
3956,0.03943
3954,0.03674
3952,0.03924
3950,0.04041
3948,0.03727
3946,0.04240
3944,0.03723
3942,0.04019
3940,0.03902
3938,0.04293
3936,0.04331
3934,0.04109
3932,0.04194
3930,0.04145
3928,0.04297
3926,0.03616
3924,0.04194
3922,0.03846
3920,0.03601
3918,0.04198
3916,0.03838
3914,0.03986
3912,0.03855
3910,0.03715
3908,0.04281
3906,0.03863
3904,0.04291
3902,0.04211
3900,0.03956
3898,0.03982
3896,0.04007
3894,0.04267
3892,0.04048
3890,0.04048
3888,0.03612
3886,0.03819
3884,0.04181
3882,0.03801
3880,0.04364
3878,0.04068
3876,0.03743
3874,0.03888
3872,0.03928
3870,0.03780
3868,0.03649
3866,0.04092
3864,0.04059
3862,0.03805
3860,0.04366
3858,0.03716
3856,0.04114
3854,0.03909
3852,0.04209
3850,0.04268
3848,0.04130
3846,0.04153
3844,0.04510
3842,0.04411
3840,0.03751
3838,0.04102
3836,0.04492
3834,0.04540
3832,0.04341
3830,0.04518
3828,0.04046
3826,0.04160
3824,0.04181
3822,0.04401
3820,0.04023
3818,0.04201
3816,0.04064
3814,0.04036
3812,0.04266
3810,0.04268
3808,0.04011
3806,0.04119
3804,0.04583
3802,0.04156
3800,0.04802
3798,0.04814
3796,0.04473
3794,0.04814
3792,0.04260
3790,0.04809
3788,0.04829
3786,0.04908
3784,0.04767
3782,0.04630
3780,0.04618
3778,0.04556
3776,0.04765
3774,0.05084
3772,0.04954
3770,0.04789
3768,0.04709
3766,0.04678
3764,0.05188
3762,0.05097
3760,0.04630
3758,0.04891
3756,0.05402
3754,0.04844
3752,0.04987
3750,0.05159
3748,0.05150
3746,0.05685
3744,0.05130
3742,0.05625
3740,0.05232
3738,0.05966
3736,0.05902
3734,0.05532
3732,0.05935
3730,0.05473
3728,0.06262
3726,0.06106
3724,0.05734
3722,0.06274
3720,0.06472
3718,0.06206
3716,0.06282
3714,0.06831
3712,0.06542
3710,0.06393
3708,0.06491
3706,0.06748
3704,0.07254
3702,0.06885
3700,0.07121
3698,0.06898
3696,0.07665
3694,0.07460
3692,0.07492
3690,0.07514
3688,0.07625
3686,0.07965
3684,0.08117
3682,0.07791
3680,0.07997
3678,0.08310
3676,0.08496
