cm-1,absorbancia
4000,0.04872
3998,0.05047
3996,0.05259
3994,0.04804
3992,0.04725
3990,0.04962
3988,0.05449
3986,0.05134
3984,0.04793
3982,0.04962
3980,0.05258
3978,0.05217
3976,0.04959
3974,0.04919
3972,0.05496
3970,0.05179
3968,0.05283
3966,0.05136
3964,0.04945
3962,0.04876
3960,0.05150
3958,0.05435
3956,0.04844
3954,0.04903
3952,0.05196
3950,0.04779
3948,0.05398
3946,0.05253
3944,0.05577
3942,0.04927
3940,0.05593
3938,0.04847
3936,0.05539
3934,0.05041
3932,0.04968
3930,0.05349
3928,0.05458
3926,0.05559
3924,0.05408
3922,0.05269
3920,0.05503
3918,0.05438
3916,0.05625
3914,0.04983
3912,0.05702
3910,0.05092
3908,0.05188
3906,0.05060
3904,0.05147
3902,0.05126
3900,0.05557
3898,0.05332
3896,0.05525
3894,0.05587
3892,0.05393
3890,0.05904
3888,0.05929
3886,0.05834
3884,0.05208
3882,0.05919
3880,0.05702
3878,0.05356
3876,0.05404
3874,0.05695
3872,0.05892
3870,0.06033
3868,0.05980
3866,0.06049
3864,0.05675
3862,0.06164
3860,0.05953
3858,0.06001
3856,0.06295
3854,0.06368
3852,0.06376
3850,0.05904
3848,0.06514
3846,0.06079
3844,0.06589
3842,0.06376
3840,0.06496
3838,0.06333
3836,0.05994
3834,0.06479
3832,0.06123
3830,0.06777
3828,0.06196
3826,0.06328
3824,0.06283
3822,0.06597
3820,0.06976
3818,0.06771
3816,0.06698
3814,0.07289
3812,0.06568
3810,0.06927
3808,0.06860
3806,0.07378
3804,0.07297
3802,0.07016
3800,0.07233
3798,0.07405
3796,0.07827
3794,0.07275
3792,0.07278
3790,0.07677
3788,0.07516
3786,0.07584
3784,0.08280
3782,0.07925
3780,0.08492
3778,0.07816
3776,0.08317
3774,0.08545
3772,0.08568
3770,0.08310
3768,0.08956
3766,0.08562
3764,0.08600
3762,0.09299
3760,0.09419
3758,0.09216
3756,0.09409
3754,0.09087
3752,0.09798
3750,0.09888
3748,0.09476
3746,0.09797
3744,0.09869
3742,0.09677
3740,0.10113
3738,0.10104
3736,0.10274
3734,0.10540
3732,0.10950
3730,0.10962
3728,0.11030
3726,0.10902
3724,0.11612
3722,0.11734
3720,0.11336
3718,0.11667
3716,0.11634
3714,0.11947
3712,0.12423
3710,0.12718
3708,0.12896
3706,0.12473
3704,0.12630
3702,0.12636
3700,0.13030
3698,0.13362
3696,0.13658
3694,0.13340
3692,0.13655
3690,0.13726
3688,0.13955
3686,0.14776
3684,0.14713
3682,0.14494
3680,0.15019
3678,0.15342
3676,0.15171
3674,0.15449
3672,0.16162
3670,0.16386
3668,0.16538
3666,0.16564
3664,0.16696
3662,0.17281
3660,0.17069
3658,0.17035
3656,0.17522
3654,0.18180
3652,0.18318
3650,0.18445
3648,0.18263
3646,0.18980
3644,0.18705
3642,0.19452
3640,0.19124
3638,0.19992
3636,0.20143
3634,0.20024
3632,0.20816
3630,0.20445
3628,0.21216
3626,0.21434
3624,0.21737
3622,0.21523
3620,0.21744
3618,0.22016
3616,0.22149
3614,0.22450
3612,0.23011
3610,0.23316
3608,0.23719
3606,0.23948
3604,0.24119
3602,0.24626
3600,0.24994
3598,0.24758
3596,0.25520
3594,0.25728
3592,0.25569
3590,0.25962
3588,0.26203
3586,0.26665
3584,0.27099
3582,0.27597
3580,0.27587
3578,0.27931
3576,0.28341
3574,0.28685
3572,0.28586
3570,0.29116
3568,0.29162
3566,0.29191
3564,0.30114
3562,0.29805
3560,0.30699
3558,0.30215
3556,0.30683
3554,0.31145
3552,0.31815
3550,0.31337
3548,0.31763
3546,0.31894
3544,0.32626
3542,0.33026
3540,0.33362
3538,0.33768
3536,0.33657
3534,0.33827
3532,0.34097
3530,0.34291
3528,0.34586
3526,0.34626
3524,0.35006
3522,0.35167
3520,0.35941
3518,0.36132
3516,0.36177
3514,0.36782
3512,0.36926
3510,0.36656
3508,0.37043
3506,0.37653
3504,0.37905
3502,0.38328
3500,0.38614
3498,0.38634
3496,0.38744
3494,0.38846
3492,0.38911
3490,0.39085
3488,0.39555
3486,0.39674
3484,0.40257
3482,0.40437
3480,0.40194
3478,0.40214
3476,0.40888
3474,0.40733
3472,0.41505
3470,0.41239
3468,0.41150
3466,0.41594
3464,0.41843
3462,0.41925
3460,0.41954
3458,0.41994
3456,0.42658
3454,0.42181
3452,0.42922
3450,0.43065
3448,0.42687
3446,0.42991
3444,0.43122
3442,0.43559
3440,0.43739
3438,0.43279
3436,0.43434
3434,0.43352
3432,0.44004
3430,0.44022
3428,0.44206
3426,0.43829
3424,0.43883
3422,0.44102
3420,0.44081
3418,0.44543
3416,0.44668
3414,0.44633
3412,0.44440
3410,0.44576
3408,0.44666
3406,0.44248
3404,0.44133
3402,0.44401
3400,0.44703
3398,0.44894
3396,0.44554
3394,0.44265
3392,0.44789
3390,0.44611
3388,0.44532
3386,0.44105
3384,0.44295
3382,0.44433
3380,0.43891
3378,0.43811
3376,0.43813
3374,0.43913
3372,0.43542
3370,0.43638
3368,0.43851
3366,0.43987
3364,0.43781
3362,0.43198
3360,0.43740
3358,0.43283
3356,0.43438
3354,0.43225
3352,0.42701
3350,0.43004
3348,0.42756
3346,0.42541
3344,0.42045
3342,0.42076
3340,0.41853
3338,0.42024
3336,0.42061
3334,0.41293
3332,0.41226
3330,0.41199
3328,0.40961
3326,0.40955
3324,0.40575
3322,0.40462
3320,0.40238
3318,0.39926
3316,0.39592
3314,0.39741
3312,0.39408
3310,0.39413
3308,0.38989
3306,0.39026
3304,0.38485
3302,0.38187
3300,0.37820
3298,0.37554
3296,0.37973
3294,0.37351
3292,0.36969
3290,0.36694
3288,0.36709
3286,0.36173
3284,0.36455
3282,0.35708
3280,0.35346
3278,0.35098
3276,0.35226
3274,0.34631
3272,0.34226
3270,0.34242
3268,0.34296
3266,0.33868
3264,0.33798
3262,0.33491
3260,0.33098
3258,0.32320
3256,0.32368
3254,0.31715
3252,0.31507
3250,0.31658
3248,0.31312
3246,0.30800
3244,0.30996
3242,0.30552
