cm-1,absorbancia
4000,0.03293
3998,0.03538
3996,0.03423
3994,0.03246
3992,0.03668
3990,0.03168
3988,0.03398
3986,0.03467
3984,0.03597
3982,0.03401
3980,0.03211
3978,0.03351
3976,0.03322
3974,0.03258
3972,0.03251
3970,0.03120
3968,0.03768
3966,0.03505
3964,0.03536
3962,0.03132
3960,0.03243
3958,0.03420
3956,0.03709
3954,0.03282
3952,0.03605
3950,0.03440
3948,0.03378
3946,0.03359
3944,0.03709
3942,0.03697
3940,0.03531
3938,0.03229
3936,0.03759
3934,0.03766
3932,0.03515
3930,0.03506
3928,0.03551
3926,0.03613
3924,0.03512
3922,0.03560
3920,0.03451
3918,0.03498
3916,0.03409
3914,0.03550
3912,0.03493
3910,0.03184
3908,0.03584
3906,0.03716
3904,0.03432
3902,0.03439
3900,0.03723
3898,0.03215
3896,0.03542
3894,0.03370
3892,0.03165
3890,0.03351
3888,0.03798
3886,0.03361
3884,0.03305
3882,0.03465
3880,0.03227
3878,0.03586
3876,0.03162
3874,0.03552
3872,0.03058
3870,0.03438
3868,0.03412
3866,0.03054
3864,0.03086
3862,0.03462
3860,0.03223
3858,0.03111
3856,0.03242
3854,0.03531
3852,0.03183
3850,0.03715
3848,0.03408
3846,0.03247
3844,0.03039
3842,0.03443
3840,0.03468
3838,0.03517
3836,0.03171
3834,0.03214
3832,0.03421
3830,0.03669
3828,0.03695
3826,0.03758
3824,0.03558
3822,0.03075
3820,0.03319
3818,0.03435
3816,0.03330
3814,0.03641
3812,0.03469
3810,0.03281
3808,0.03299
3806,0.03319
3804,0.03381
3802,0.03135
3800,0.03607
3798,0.03022
3796,0.03288
3794,0.03321
3792,0.03757
3790,0.03079
3788,0.03405
3786,0.03333
3784,0.03130
3782,0.03221
3780,0.03428
3778,0.03594
3776,0.03444
3774,0.03434
3772,0.03458
3770,0.03756
3768,0.03373
3766,0.03258
3764,0.03464
3762,0.03190
3760,0.03730
3758,0.03695
3756,0.03399
3754,0.03139
3752,0.03442
3750,0.03271
3748,0.03074
3746,0.03796
3744,0.03508
3742,0.03240
3740,0.03511
3738,0.03365
3736,0.03570
3734,0.03471
3732,0.03687
3730,0.03167
3728,0.03106
3726,0.03594
3724,0.03573
3722,0.03062
3720,0.03449
3718,0.03357
3716,0.03790
3714,0.03642
3712,0.03055
3710,0.03566
3708,0.03591
3706,0.03053
3704,0.03426
3702,0.03566
3700,0.03078
3698,0.03723
3696,0.03302
3694,0.03426
3692,0.03774
3690,0.03644
3688,0.03738
3686,0.03187
3684,0.03453
3682,0.03085
3680,0.03673
3678,0.03745
3676,0.03756
3674,0.03378
3672,0.03405
3670,0.03719
3668,0.03681
3666,0.03459
3664,0.03190
3662,0.03676
3660,0.03483
3658,0.03223
3656,0.03567
3654,0.03675
3652,0.03689
3650,0.03742
3648,0.03834
3646,0.03484
3644,0.03331
3642,0.03424
3640,0.03274
3638,0.03844
3636,0.03323
3634,0.03773
3632,0.03560
3630,0.03334
3628,0.03487
3626,0.03398
3624,0.03728
3622,0.04001
3620,0.03544
3618,0.03956
3616,0.04162
3614,0.03923
3612,0.04176
3610,0.03874
3608,0.04169
3606,0.03860
3604,0.03683
3602,0.03923
3600,0.04385
3598,0.04159
3596,0.04334
3594,0.04094
3592,0.04611
3590,0.04281
3588,0.04339
3586,0.04258
3584,0.04688
3582,0.04695
3580,0.04336
3578,0.04451
3576,0.05035
3574,0.04728
3572,0.04729
3570,0.04863
3568,0.05255
3566,0.05307
3564,0.04767
3562,0.04984
3560,0.05021
3558,0.04974
3556,0.05688
3554,0.05575
3552,0.05258
3550,0.05727
